,xG,npxG,goals,xA,assists,key_passes,shots,xGChain,minutes,team_xGA,team_xG,opponent_xGA,opponent_xG,team_goals_conceded,team_goals_scored,saves,opponent_attack_strength,opponent_defense_strength,points
3071,0.0,0.0,0,0.0,0,0,0,0.16794095933437347,90,1.35217,2.5062900000000004,43.14924539672211,49.14518130477518,3.0,3.0,0.0,1150.0,1210.0,1.0
3035,0.037126392126083374,0.037126392126083374,0,0.8903732299804688,1,3,2,0.8662437200546265,90,1.1781700000000002,2.73834,43.14924539672211,49.14518130477518,1.0,3.0,0.0,1150.0,1210.0,7.0
827,0.07456351071596146,0.07456351071596146,0,0.0,0,0,4,0.033986322581768036,87,0.73944,0.736172,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,2.0
1444,0.1349463164806366,0.1349463164806366,0,0.0,0,0,3,0.03204705566167832,90,1.94485,2.25414,43.14924539672211,49.14518130477518,3.0,1.0,0.0,1130.0,1220.0,1.0
1467,0.0,0.0,0,0.04266784340143204,0,2,0,0.4174340665340424,90,4.03429,0.8698739999999999,43.14924539672211,49.14518130477518,4.0,0.0,0.0,1150.0,1210.0,2.0
1517,0.11947721242904664,0.11947721242904664,0,0.3778026401996613,1,2,2,0.4972798526287079,90,0.7162649999999999,1.56162,43.14924539672211,49.14518130477518,1.0,2.0,0.0,1150.0,1210.0,8.0
1529,0.5667001605033875,0.5667001605033875,1,0.3292156755924225,0,3,2,1.4750746488571167,90,1.1185,2.0069,43.14924539672211,49.14518130477518,1.0,2.0,0.0,1130.0,1220.0,13.0
1577,0.7883178591728209,0.0271490141749382,1,0.0,0,0,2,0.018525943160057068,78,0.7162649999999999,1.56162,43.14924539672211,49.14518130477518,1.0,2.0,0.0,1150.0,1210.0,7.0
1588,0.0,0.0,0,0.0,0,0,0,0.0,10,1.1185,2.0069,43.14924539672211,49.14518130477518,0.0,2.0,0.0,1130.0,1220.0,1.0
1638,0.0,0.0,0,0.0,0,0,0,0.0,9,0.747166,1.51332,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,1.0
1648,0.1152585744857788,0.1152585744857788,0,0.0,0,0,1,0.1152585744857788,75,0.998072,0.394113,43.14924539672211,49.14518130477518,1.0,0.0,0.0,1150.0,1210.0,1.0
1693,0.030853079631924633,0.030853079631924633,0,0.11695902794599533,0,2,1,0.5366013646125793,54,0.747166,1.51332,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,1.0
1715,0.0,0.0,0,0.0,0,0,0,1.5576199293136597,90,0.33118800000000004,2.08868,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,6.0
1419,0.3770269453525543,0.3770269453525543,0,0.14393572509288788,1,1,1,0.5363181233406067,69,0.679649,1.19792,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1150.0,1210.0,6.0
788,0.08769665658473969,0.08769665658473969,0,0.3509388864040375,0,1,1,0.438635528087616,26,0.33118800000000004,2.08868,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,1.0
1753,0.0,0.0,0,0.0,0,0,0,0.0,14,1.1185,2.0069,43.14924539672211,49.14518130477518,0.0,2.0,0.0,1130.0,1220.0,1.0
1763,0.0,0.0,0,0.017271213233470917,0,1,0,0.017271213233470917,70,2.85573,0.8391280000000001,43.14924539672211,49.14518130477518,0.0,1.0,0.0,1130.0,1220.0,3.0
1803,0.0,0.0,0,0.0,0,0,0,0.019513845443725586,36,0.747166,1.51332,43.14924539672211,49.14518130477518,0.0,0.0,0.0,1130.0,1220.0,1.0
1816,0.0,0.0,0,0.009800851345062256,0,1,0,0.009800851345062256,90,0.998072,0.394113,43.14924539672211,49.14518130477518,1.0,0.0,0.0,1150.0,1210.0,2.0
